iter	MultiRMSE
0	4.436402487
1	4.403922334
2	4.371512737
3	4.340116442
4	4.308765295
5	4.278172575
6	4.247464937
7	4.217177783
8	4.186983532
9	4.157499498
10	4.128988355
11	4.100035814
12	4.071150994
13	4.042852296
14	4.014953707
15	3.987463093
16	3.961347595
17	3.934503056
18	3.90789861
19	3.883039935
20	3.857855019
21	3.832392156
22	3.807126166
23	3.783036314
24	3.758140257
25	3.733395373
26	3.709398371
27	3.685696941
28	3.662853954
29	3.639768031
30	3.61662607
31	3.594187208
32	3.571542251
33	3.550643315
34	3.528465731
35	3.507073072
36	3.485665826
37	3.464393671
38	3.443453564
39	3.423168887
40	3.402691782
41	3.382543032
42	3.362999225
43	3.344189552
44	3.325431604
45	3.306838266
46	3.288369306
47	3.269875978
48	3.251819814
49	3.2339097
50	3.217078404
51	3.199730826
52	3.182594118
53	3.165344495
54	3.148578095
55	3.131934887
56	3.115477819
57	3.099956523
58	3.084561199
59	3.068623856
60	3.053156793
61	3.038389179
62	3.023244864
63	3.008194162
64	2.993581668
65	2.979166553
66	2.965050921
67	2.950830053
68	2.936662884
69	2.922818523
70	2.909281042
71	2.896038137
72	2.882526905
73	2.869691923
74	2.857119672
75	2.844447497
76	2.831753489
77	2.819537216
78	2.807237657
79	2.795242711
80	2.783973772
81	2.772041791
82	2.760227349
83	2.748676822
84	2.737356394
85	2.726129825
86	2.71501567
87	2.704323165
88	2.693591344
89	2.683016179
90	2.672474532
91	2.662466884
92	2.65228071
93	2.642431054
94	2.632504867
95	2.623132813
96	2.61385681
97	2.604537017
98	2.595317304
99	2.58618867
100	2.577165272
101	2.568446473
102	2.559867873
103	2.551296104
104	2.542930279
105	2.53457568
106	2.526497273
107	2.518549208
108	2.511157882
109	2.503290629
110	2.495543711
111	2.487920369
112	2.480140383
113	2.472854001
114	2.465857964
115	2.458673102
116	2.451586183
117	2.444428538
118	2.437488357
119	2.43045942
120	2.423795738
121	2.417072202
122	2.410547475
123	2.404071555
124	2.397632016
125	2.391450021
126	2.385413478
127	2.378706018
128	2.372569688
129	2.366936832
130	2.361128607
131	2.355414924
132	2.349620865
133	2.343802917
134	2.338308653
135	2.332940276
136	2.327873394
137	2.322498659
138	2.317222376
139	2.312159917
140	2.306940819
141	2.301870375
142	2.297080537
143	2.292326281
144	2.287480916
145	2.282665059
146	2.278041544
147	2.273393492
148	2.268832138
149	2.264339244
150	2.25983645
151	2.255613524
152	2.251126054
153	2.246921014
154	2.242363225
155	2.238237029
156	2.234083102
157	2.230125315
158	2.226239011
159	2.222482994
160	2.218750132
161	2.214888775
162	2.211177172
163	2.207602017
164	2.203946121
165	2.200286842
166	2.196605545
167	2.193185868
168	2.189741388
169	2.185953231
170	2.182669754
171	2.179284282
172	2.175574158
173	2.172344614
174	2.168895197
175	2.165780535
176	2.162842517
177	2.159326507
178	2.156411446
179	2.153369983
180	2.150453154
181	2.147552755
182	2.14468343
183	2.141739672
184	2.139009717
185	2.136351839
186	2.13370498
187	2.130974248
188	2.128495422
189	2.125586408
190	2.122870817
191	2.120385383
192	2.117532727
193	2.115266763
194	2.112873191
195	2.110719591
196	2.10801575
197	2.105601952
198	2.103187129
199	2.100937781
200	2.098566467
201	2.096593114
202	2.094709209
203	2.092626552
204	2.090446155
205	2.08839069
206	2.086252041
207	2.084416977
208	2.082383529
209	2.080316429
210	2.078467236
211	2.075854123
212	2.074228129
213	2.072239006
214	2.070264079
215	2.067984105
216	2.065746889
217	2.064007605
218	2.062313483
219	2.060486407
220	2.05834295
221	2.056242518
222	2.054661404
223	2.052440558
224	2.050322468
225	2.048813061
226	2.047342149
227	2.04531693
228	2.043891226
229	2.042176435
230	2.040675079
231	2.038452728
232	2.036915518
233	2.035076313
234	2.032974533
235	2.031605592
236	2.0296466
237	2.028193434
238	2.026689189
239	2.024517938
240	2.022669606
241	2.021407364
242	2.019993894
243	2.018545497
244	2.01720673
245	2.015623145
246	2.013686157
247	2.011830321
248	2.010285303
249	2.008722108
250	2.00703196
251	2.0057332
252	2.004450867
253	2.003038318
254	2.001840805
255	2.000385556
256	1.999013585
257	1.997605508
258	1.996424632
259	1.99529013
260	1.993893832
261	1.992733864
262	1.99131449
263	1.990240326
264	1.989234407
265	1.988056937
266	1.986873181
267	1.985782224
268	1.984760012
269	1.983677722
270	1.98286419
271	1.981204194
272	1.979875609
273	1.978817468
274	1.977921154
275	1.976863688
276	1.975868251
277	1.974721786
278	1.973675691
279	1.97277061
280	1.971634156
281	1.970537454
282	1.969160214
283	1.968027345
284	1.967222793
285	1.966057599
286	1.965082549
287	1.964310168
288	1.963359933
289	1.962585
290	1.961069998
291	1.96014562
292	1.959384157
293	1.95865062
294	1.957919374
295	1.957057538
296	1.956184978
297	1.955311903
298	1.954302816
299	1.953731425
300	1.952943079
301	1.952236878
302	1.951010894
303	1.950207695
304	1.949524349
305	1.948800165
306	1.948165788
307	1.947463201
308	1.946546915
309	1.945801451
310	1.945173534
311	1.94444006
312	1.943832028
313	1.943097525
314	1.942360484
315	1.941687644
316	1.94096057
317	1.940415245
318	1.939734727
319	1.939132154
320	1.938496078
321	1.937910071
322	1.937427718
323	1.936840679
324	1.936292738
325	1.935394278
326	1.934793457
327	1.934263796
328	1.933745057
329	1.933102613
330	1.93247315
331	1.931958629
332	1.931437885
333	1.930881356
334	1.930397801
335	1.929786484
336	1.929227711
337	1.928712072
338	1.927506766
339	1.92683567
340	1.92624713
341	1.925199708
342	1.924519642
343	1.923992293
344	1.923091684
345	1.922452528
346	1.921862799
347	1.921393888
348	1.92087758
349	1.920365784
350	1.91979552
351	1.918696286
352	1.918266722
353	1.917783199
354	1.917316458
355	1.916906559
356	1.915913346
357	1.915133691
358	1.914694847
359	1.9140042
360	1.913486004
361	1.91301649
362	1.912698292
363	1.912228743
364	1.911712641
365	1.911220863
366	1.910711659
367	1.910238308
368	1.909610299
369	1.909103679
370	1.908680295
371	1.908097083
372	1.907711394
373	1.907316112
374	1.906497372
375	1.905740078
376	1.905339293
377	1.904855169
378	1.903961897
379	1.903344018
380	1.902980507
381	1.902601438
382	1.90173185
383	1.901065161
384	1.900218922
385	1.899800609
386	1.899352047
387	1.898876052
388	1.898336522
389	1.897453721
390	1.897028881
391	1.896401033
392	1.895720135
393	1.895360817
394	1.89502207
395	1.894326506
396	1.893923186
397	1.893598951
398	1.892958155
399	1.892567157
400	1.892167737
401	1.891857444
402	1.891525367
403	1.891224333
404	1.890687897
405	1.890300005
406	1.889530629
407	1.889152248
408	1.888828469
409	1.888472008
410	1.888059245
411	1.887540379
412	1.887067177
413	1.886566887
414	1.885914203
415	1.885510529
416	1.885020341
417	1.884666357
418	1.884306614
419	1.883953861
420	1.883332083
421	1.883078586
422	1.882618128
423	1.882360752
424	1.881982436
425	1.881708162
426	1.880945993
427	1.880605249
428	1.880136656
429	1.879817058
430	1.879508111
431	1.879168191
432	1.878939764
433	1.878480206
434	1.878091725
435	1.877823754
436	1.877257683
437	1.876915555
438	1.876545182
439	1.876307815
440	1.876029346
441	1.875703295
442	1.875375943
443	1.874959695
444	1.874227102
445	1.873657813
446	1.8731696
447	1.872760307
448	1.872434472
449	1.87201411
450	1.871741849
451	1.871422372
452	1.870812974
453	1.870495404
454	1.8702034
455	1.869629347
456	1.869345724
457	1.868854589
458	1.868569963
459	1.86818087
460	1.867879234
461	1.867522735
462	1.867224831
463	1.866634178
464	1.866358536
465	1.866157075
466	1.865889149
467	1.865666063
468	1.865398984
469	1.865178973
470	1.864855688
471	1.864689329
472	1.86445618
473	1.864043521
474	1.863711198
475	1.863495663
476	1.863160009
477	1.862913458
478	1.862714767
479	1.862485207
480	1.862134399
481	1.861771942
482	1.861571135
483	1.861343487
484	1.861015572
485	1.860748276
486	1.860487608
487	1.860190539
488	1.859943874
489	1.859620569
490	1.859473751
491	1.859188556
492	1.858931216
493	1.858597135
494	1.85837329
495	1.858132039
496	1.857677344
497	1.857473501
498	1.857294436
499	1.857042811
500	1.856868912
501	1.856662538
502	1.856394604
503	1.856007319
504	1.855771021
505	1.855458397
506	1.85518664
507	1.854872002
508	1.854678302
509	1.854359852
510	1.854077639
511	1.853902308
512	1.853650517
513	1.853450495
514	1.853137428
515	1.852854176
516	1.852478172
517	1.852166341
518	1.851650498
519	1.851398994
520	1.851111929
521	1.850857614
522	1.850592124
523	1.850315362
524	1.850077054
525	1.849849653
526	1.84944225
527	1.849139218
528	1.84890449
529	1.848591317
530	1.848350072
531	1.848076886
532	1.847872006
533	1.84771429
534	1.847606981
535	1.847451196
536	1.847282434
537	1.847056736
538	1.84682334
539	1.846591219
540	1.846343994
541	1.846143392
542	1.845948473
543	1.845791153
544	1.845610817
545	1.84534846
546	1.84515697
547	1.844738442
548	1.844556114
549	1.844394362
550	1.844185915
551	1.843958497
552	1.843743865
553	1.843555497
554	1.843295031
555	1.843112657
556	1.842933922
557	1.842689162
558	1.842500156
559	1.842307594
560	1.842117974
561	1.841963343
562	1.841701786
563	1.841468671
564	1.841284602
565	1.841093846
566	1.840990125
567	1.840785613
568	1.840500734
569	1.840283361
570	1.840022087
571	1.839783808
572	1.83963034
573	1.839474236
574	1.839346516
575	1.839189217
576	1.838997588
577	1.838764564
578	1.838394696
579	1.838272817
580	1.838089278
581	1.837811022
582	1.837565463
583	1.837345817
584	1.837211072
585	1.836999335
586	1.836803295
587	1.836634973
