iter	Passed	Remaining
0	164	164629
1	189	94615
2	217	72269
3	244	60806
4	271	54052
5	300	49811
6	325	46123
7	353	43823
8	380	41853
9	407	40387
10	434	39084
11	464	38269
12	491	37343
13	518	36537
14	542	35654
15	568	34942
16	590	34154
17	617	33662
18	643	33244
19	668	32742
20	692	32294
21	717	31879
22	746	31698
23	781	31787
24	811	31650
25	836	31326
26	859	30987
27	882	30622
28	902	30233
29	929	30049
30	959	29990
31	983	29750
32	1005	29449
33	1027	29186
34	1050	28955
35	1075	28786
36	1098	28584
37	1121	28398
38	1150	28353
39	1177	28256
40	1203	28160
41	1232	28111
42	1259	28027
43	1284	27912
44	1308	27765
45	1332	27638
46	1359	27560
47	1386	27500
48	1420	27578
49	1504	28583
50	1544	28730
51	1572	28659
52	1599	28578
53	1626	28495
54	1652	28393
55	1681	28345
56	1711	28316
57	1739	28259
58	1769	28221
59	1798	28173
60	1829	28154
61	1860	28148
62	1888	28094
63	1917	28045
64	1943	27951
65	1970	27879
66	1997	27812
67	2026	27771
68	2053	27713
69	2078	27610
70	2106	27560
71	2134	27508
72	2160	27440
73	2188	27384
74	2213	27303
75	2239	27233
76	2267	27176
77	2294	27121
78	2322	27078
79	2349	27021
80	2374	26942
81	2401	26888
82	2426	26813
83	2456	26782
84	2483	26736
85	2508	26662
86	2535	26607
87	2558	26511
88	2589	26507
89	2618	26473
90	2643	26409
91	2670	26353
92	2697	26306
93	2724	26259
94	2752	26222
95	2778	26164
96	2804	26105
97	2829	26045
98	2855	25988
99	2882	25943
100	2907	25881
101	2933	25824
102	2959	25770
103	2990	25760
104	3015	25704
105	3039	25631
106	3065	25582
107	3094	25554
108	3120	25507
109	3148	25475
110	3178	25453
111	3206	25421
112	3232	25375
113	3259	25328
114	3284	25279
115	3311	25239
116	3338	25194
117	3363	25138
118	3390	25104
119	3416	25050
120	3442	25005
121	3466	24945
122	3491	24897
123	3518	24856
124	3542	24798
125	3566	24740
126	3590	24678
127	3613	24617
128	3639	24573
129	3662	24508
130	3689	24471
131	3714	24422
132	3741	24388
133	3765	24333
134	3795	24317
135	3822	24281
136	3847	24238
137	3875	24208
138	3901	24167
139	3928	24131
140	3956	24101
